UrlId	Seed URL	Cost	Trial to success cost
48	https://cavesconnect.cavesbooks.com.tw/event/2020-cc-yearendevent/	24	24
49	https://www.pcsr.com.tw/ptsr/sropsp-lectures-E20201101094	28	28
50	https://chccp.e-land.gov.tw/exhibitions/%e5%b1%95%e8%a6%bd%e2%94%82%e5%ae%9c%e8%98%ad%e6%a4%85%e5%b8%b8%e8%a8%ad%e5%b1%95/	26	26
51	https://community.decathlon.tw/en/activities/101498	3276	(Event Source Page was not found)
52	https://community.society.taichung.gov.tw/registration/Details.aspx?Parser=99,7,36,,,,,153	20	20
53	https://ddyp.ddm.org.tw/activity.php?no=191	4	4
54	https://dschool.ntu.edu.tw/activity/107	8	8
55	https://event.rhythmsmonthly.com/tc-events/%e8%82%b2%e5%85%92%e6%94%be%e9%a3%9b%e8%a8%98/	22	22
57	https://ievents.iii.org.tw/EventS.aspx?t=0&id=814	8	8
58	https://kingcar.org.tw/project/501222	31	31
59	https://kml.kcg.gov.tw/act/info/detail?key=73	20	20
60	https://lkkpomia.tgb.org.tw/posts/142/	2	2
61	http://activity.dsa.fju.edu.tw/Activity.jsp?activityID=28843	2	2
62	http://artist.nccu.edu.tw/fm1.html	10	10
63	http://bambooculture.com/civicrm/event/info?reset=1&id=166	80	80
64	http://jam.jutfoundation.org.tw/civicrm/event/info?reset=1&id=491	29	29
65	http://www.khm.org.tw/tw/event/detail/22	31	31
67	http://techpromot.ccu.edu.tw/event/showEvent/78	12	12
68	http://tpecitygod.org/hot-news1030624.html	3	3
69	https://www.chimeimuseum.org/%E7%95%B6%E6%9C%9F%E5%B1%95%E8%A6%BD/4C579057-AAB3-4618-80B8-9F89975D0871/40/120	25	25
70	http://www.dadun.culture.taichung.gov.tw/Exhibition/ActiveDetail?g=AAD0000255	52	52
71	https://www.sow.org.tw/civicrm/event/info?reset=1&id=9780	56	56
72	https://www.mocataipei.org.tw/tw/ExhibitionAndEvent/Info/%E8%A8%98%E6%86%B6%E7%9A%84%E7%96%86%E7%95%8C	49	49
73	http://www.parenting.tw/campaign_detail.asp?artid=00024&nouse=1443	6	6
74	http://www.poly.tw/article.php?id=339	28	28
75	http://www.psygarden.com.tw/news.php?func=activity&activityid=MjAyMDEwMjgxODU1MzU=	11	11
76	http://www.sundaytour.com.tw/zh-tw/player/edm-detail.php?tripid=&pid=194	24	24
77	https://act.cjcu.edu.tw/ActiveSite/act.aspx?id=11630	2	2
78	https://www.ncl.edu.tw/activityhistory_238_848.html	73	73
79	https://cheng-sing.com/blog/GPnQ2h	14	14
80	http://www.aheritage.tw/27963212053533824687.html	12	12
81	https://conference.itl.nctu.edu.tw/conference_content.php?CONF_ID=356	2	2
82	https://culture.skm.com.tw/ActEvent/Cweb/ActiveContent?MenuUUID=fbb04422-ea7f-4126-bfc6-18398af36442&ActUUID=d111af2e-1806-44b7-b1cc-efddb32e479f	109	109
83	https://culture.tainan.gov.tw/registration/index-1.php?m2=53&sid=1127	146	146
84	https://erf.org.tw/events/%e5%a4%a9%e6%b6%af%e6%b5%b7%e8%a7%92%e9%9b%bb%e5%bd%b1%e9%99%a2%e9%a6%ac%e5%b4%97%e5%a0%b4%ef%bc%9a%e3%80%8a%e5%9b%9e%e4%be%86%e5%ae%89%e5%b9%b3%e6%b8%af%e3%80%8b%e6%9a%a8%e7%99%be%e5%b9%b4%e7%9f%b3/	10	10
85	https://event.culture.tw/NMP/portal/Registration/C0103MAction?useLanguage=tw&actId=00060&request_locale=tw	14	14
86	https://fantasystory.com.tw/ltp_view.php?id=2394	92	92
87	https://hiking.biji.co/index.php?q=news&act=info&id=18735	61	61
88	https://www.tys.org.tw/fycm/article.asp?article_id=314	12	12
89	https://law.moeasmea.gov.tw/ailt/modules/events/detail.php?id=188	15	15
90	https://rice.furkid.org/%e6%b4%bb%e5%8b%95/%e3%80%90%e6%b4%bb%e5%8b%95%e3%80%91lifeapp%e8%88%92%e5%bc%a7%e5%a2%8a/	16	16
91	https://skyline.tw/activity/activity-uioq923lszeqb9e48vedum18fsml0mu	6	6
92	https://south.npm.gov.tw/ActivityInfoDetailC003210.aspx?Cond=fff2bebb-f05c-435f-90bf-b454c9a3959b&appname=ActivityInfo3213&State=2	32	32
93	https://www.wildviewtaiwan.org.tw/movie/1831	10	10
94	https://vvg.com.tw/news-post/262	12	12
95	https://www.228.org.tw/228museum_exhibition-view.php?ID=342	37	37
96	https://www.bigcamera.com.tw/activity_view.php?no=236	28	28
97	https://www.ccat.tw/civicrm/event/info?reset=1&id=105	20	20
98	https://www.coliving.taichung.gov.tw/civicrm/event/info?reset=1&id=75	30	30
99	https://www.hfec.org.tw/content/18697	12	12
100	https://www.orchina.net/event/672	4	4
There are a total of 100 events, of which 94 events have found the Event Source Page.
Success rate: 0.940
Trial to success cost: 3380, Trial to success average cost: 35.957
Total cost: 10250, Total average cost: 102.500
